ind_district,Crop_Year,Production,X1,X2,X3,X4
ambala,2005,254000,233000,227000,1058.4,1202.9
ambala,2006,261000,254000,233000,660.7,1058.4
ambala,2007,277000,261000,254000,738.3,660.7
ambala,2008,267000,277000,261000,1227.9,738.3
ambala,2009,306000,267000,277000,779.6,1227.9
ambala,2010,282000,306000,267000,1123.7,779.6
bhiwani,2005,25000,14000,23000,489.8,426.7
bhiwani,2006,26000,25000,14000,364.1,489.8
bhiwani,2007,40000,26000,25000,381.3,364.1
bhiwani,2008,45000,40000,26000,762.5,381.3
bhiwani,2009,44000,45000,40000,227.8,762.5
bhiwani,2010,44000,44000,45000,441.1,227.8
faridabad,2005,70000,68000,78000,592,634.5
faridabad,2006,84000,70000,68000,269.2,592
faridabad,2010,18000,24000,22000,557.6,355.1
fatehabad,2005,254000,280000,218000,490.5,285.6
fatehabad,2006,312000,254000,280000,322.9,490.5
gurgaon,2005,6000,18000,19000,628.2,558.2
gurgaon,2006,6000,6000,18000,340.5,628.2
gurgaon,2010,14000,14000,8000,841.2,461.5
jhajjar,2005,29000,16000,18000,619.3,473.4
jhajjar,2010,62000,47000,33000,485.7,380.9
jind,2005,258000,201000,218000,813.4,634.7
jind,2006,248000,258000,201000,382.2,813.4
jind,2007,249000,248000,258000,557.2,382.2
jind,2010,284000,296000,250000,543.6,406.8
kaithal,2010,436000,462000,391000,567.5,188.8
karnal,2005,521000,567000,499000,562.5,630.3
karnal,2006,553000,521000,567000,340,562.5
karnal,2007,610000,553000,521000,731.7,340
karnal,2008,465000,610000,553000,613.6,731.7
karnal,2009,521000,465000,610000,485.6,613.6
karnal,2010,461000,521000,465000,876.8,485.6
kurukshetra,2005,416000,468000,348000,554.8,564.6
kurukshetra,2006,440000,416000,468000,241.8,554.8
kurukshetra,2007,460000,440000,416000,355,241.8
kurukshetra,2010,383000,453000,408000,458.6,252.4
panchkula,2009,23000,24000,20000,399.5,581.5
panchkula,2010,30000,23000,24000,707.4,399.5
panipat,2005,181000,164000,164000,555.5,560.3
panipat,2006,194000,181000,164000,353,555.5
panipat,2007,188000,194000,181000,290.3,353
panipat,2008,169000,188000,194000,430.5,290.3
rewari,2005,3000,3000,3000,628,416.8
rewari,2006,3000,3000,3000,453.9,628
rohtak,2005,36000,26000,21000,609.3,400.4
rohtak,2006,37000,36000,26000,439.3,609.3
rohtak,2007,52000,37000,36000,376.6,439.3
rohtak,2008,48000,52000,37000,580.6,376.6
rohtak,2009,50000,48000,52000,404.1,580.6
rohtak,2010,59000,50000,48000,486.1,404.1
sirsa,2005,166000,157000,156000,313.8,246.2
sirsa,2006,175000,166000,157000,437.9,313.8
sirsa,2007,189000,175000,166000,305.9,437.9
sirsa,2008,196000,189000,175000,343.5,305.9
sirsa,2009,204000,196000,189000,126.3,343.5
sirsa,2010,195000,204000,196000,396.9,126.3
yamunanagar,2005,200000,191000,172000,991.9,742.2
yamunanagar,2006,213000,200000,191000,636.9,991.9
yamunanagar,2007,227000,213000,200000,728.8,636.9
yamunanagar,2008,221000,227000,213000,865.6,728.8
yamunanagar,2009,267000,221000,227000,750.5,865.6
yamunanagar,2010,244000,267000,221000,1433.9,750.5
chamba,2005,4585,4193,4496,1004.4,890.3
chamba,2006,4031,4585,4193,1219.1,1004.4
chamba,2007,3345,4031,4585,533.4,1219.1
chamba,2010,5767,3285,3345,1087.2,431.3
kangra,2005,50934,48680,56121,1470.8,1343.9
kangra,2006,54148,50934,48680,1766.6,1470.8
kangra,2007,53986,54148,50934,1610,1766.6
kangra,2008,55836,53986,54148,1805.3,1610
kangra,2010,59209,55836,53986,1611.2,1209.9
kinnaur,2005,31,43,40,643.8,255.9
kinnaur,2006,44,31,43,333.6,643.8
kinnaur,2007,20,44,31,628.5,333.6
kinnaur,2008,24,20,44,735.1,628.5
kinnaur,2010,25,24,20,1069.8,572
mandi,2005,29167,25275,28981,1264.4,1170.1
mandi,2006,27068,29167,25275,1265.2,1264.4
mandi,2007,25002,27068,29167,1472.3,1265.2
mandi,2008,27410,25002,27068,1300.5,1472.3
mandi,2010,30528,27410,25002,1483.6,965.2
solan,2005,8283,10401,7866,950.7,813.1
solan,2006,10968,8283,10401,974.6,950.7
solan,2007,10126,10968,8283,1173.8,974.6
solan,2008,10565,10126,10968,1492.1,1173.8
solan,2010,5166,10565,10126,1377.3,882.1
una,2005,3311,3572,4633,1217.4,1108.4
una,2006,4464,3311,3572,1308.5,1217.4
una,2007,4651,4464,3311,1244.3,1308.5
una,2008,4029,4651,4464,1471.5,1244.3
una,2010,5277,4029,4651,1182.3,1212.2
amritsar,2005,1003000,1034000,872000,693.4,381.6
amritsar,2006,538000,1003000,1034000,957.5,693.4
amritsar,2007,546000,538000,1003000,575,957.5
amritsar,2008,532000,546000,538000,869.3,575
amritsar,2009,501000,532000,546000,276.4,869.3
amritsar,2010,503000,501000,532000,478.8,276.4
faridkot,2008,414000,351000,338000,359.4,366.8
faridkot,2009,414000,414000,351000,323,359.4
faridkot,2010,409000,414000,414000,252.2,323
fatehgarh sahib,2008,363000,383000,340000,206.1,156
fatehgarh sahib,2009,391000,363000,383000,161.7,206.1
fatehgarh sahib,2010,366000,391000,363000,304.9,161.7
gurdaspur,2005,590000,641000,587000,1116,700.9
gurdaspur,2006,636000,590000,641000,1032.4,1116
gurdaspur,2007,617000,636000,590000,1198.9,1032.4
gurdaspur,2008,663000,617000,636000,1220.4,1198.9
gurdaspur,2009,640000,663000,617000,599.2,1220.4
gurdaspur,2010,705000,640000,663000,918.1,599.2
hoshiarpur,2005,182000,171000,179000,480.2,628.9
hoshiarpur,2006,157000,182000,171000,489.6,480.2
hoshiarpur,2007,185000,157000,182000,621,489.6
hoshiarpur,2008,209000,185000,157000,993.1,621
hoshiarpur,2009,248000,209000,185000,602.1,993.1
hoshiarpur,2010,261000,248000,209000,693.3,602.1
jalandhar,2005,526000,538000,465000,833.9,496.3
jalandhar,2006,514000,526000,538000,576.9,833.9
jalandhar,2007,554000,514000,526000,622.8,576.9
jalandhar,2008,588000,554000,514000,724.7,622.8
jalandhar,2009,636000,588000,554000,615.4,724.7
jalandhar,2010,588000,636000,588000,513.2,615.4
kapurthala,2005,422000,423000,361000,683.8,280.8
kapurthala,2010,460000,452000,428000,440.5,756.5
ludhiana,2005,1130000,1144000,1047000,611.2,463.2
ludhiana,2006,1084000,1130000,1144000,414.1,611.2
ludhiana,2007,1133000,1084000,1130000,474.2,414.1
ludhiana,2008,1135000,1133000,1084000,840.9,474.2
ludhiana,2009,1206000,1135000,1133000,559.8,840.9
ludhiana,2010,1133000,1206000,1135000,563.9,559.8
moga,2005,735000,731000,667000,326.8,108.8
moga,2006,711000,735000,731000,314.3,326.8
moga,2007,749000,711000,735000,283.8,314.3
moga,2008,800000,749000,711000,419.8,283.8
moga,2009,812000,800000,749000,328.8,419.8
moga,2010,745000,812000,800000,407.9,328.8
muktsar,2009,387000,402000,283000,176.9,382.6
muktsar,2010,432000,387000,402000,262.4,176.9
patiala,2005,996000,965000,950000,770.9,815.4
patiala,2006,989000,996000,965000,436.8,770.9
patiala,2007,999000,989000,996000,473.7,436.8
patiala,2008,1009000,999000,989000,1320.4,473.7
patiala,2009,1021000,1009000,999000,516.5,1320.4
patiala,2010,873000,1021000,1009000,798,516.5
sangrur,2005,1625000,1710000,1566000,281.8,292.1
sangrur,2006,1637000,1625000,1710000,334.6,281.8
sangrur,2007,1207000,1637000,1625000,216.5,334.6
sangrur,2008,1233000,1207000,1637000,418.5,216.5
sangrur,2009,1273000,1233000,1207000,324.5,418.5
sangrur,2010,1185000,1273000,1233000,515.8,324.5
ajmer,2005,19,27,43,498.7,466.7
ajmer,2006,24,19,27,442.6,498.7
ajmer,2007,12,24,19,377.6,442.6
ajmer,2008,7,12,24,492.3,377.6
ajmer,2009,11,7,12,253.6,492.3
ajmer,2010,18,11,7,661.7,253.6
alwar,2005,193,206,265,685.6,428.6
alwar,2006,200,193,206,448,685.6
alwar,2007,315,200,193,557.2,448
alwar,2008,479,315,200,880.9,557.2
alwar,2009,524,479,315,495.3,880.9
alwar,2010,766,524,479,820.5,495.3
banswara,2005,21774,21080,23750,758.4,1080.2
banswara,2006,18756,21774,21080,1801.2,758.4
banswara,2007,46686,18756,21774,1243.2,1801.2
banswara,2008,12376,46686,18756,488.6,1243.2
banswara,2009,11416,12376,46686,725,488.6
banswara,2010,17610,11416,12376,604.6,725
baran,2005,6800,4552,3616,792,647.3
baran,2006,3571,6800,4552,730.7,792
baran,2007,10595,3571,6800,561,730.7
baran,2008,20058,10595,3571,823.2,561
baran,2009,18491,20058,10595,661.4,823.2
baran,2010,23800,18491,20058,600.5,661.4
bharatpur,2005,7351,1206,2428,698.1,505.7
bharatpur,2006,638,7351,1206,365.1,698.1
bharatpur,2007,1114,638,7351,422.3,365.1
bharatpur,2008,2766,1114,638,784.4,422.3
bharatpur,2009,3303,2766,1114,555.5,784.4
bharatpur,2010,3095,3303,2766,751,555.5
bhilwara,2005,423,358,314,563.5,877.8
bhilwara,2006,326,423,358,723.3,563.5
bhilwara,2007,502,326,423,570.7,723.3
bhilwara,2008,502,502,326,505.3,570.7
bhilwara,2009,651,502,502,358.6,505.3
bhilwara,2010,794,651,502,705.8,358.6
bikaner,2005,25,25,21,267.1,118.2
bikaner,2006,11,25,25,200.5,267.1
bikaner,2007,2,11,25,327.6,200.5
bikaner,2008,323,2,11,338.2,327.6
bikaner,2009,95,323,2,204.5,338.2
bikaner,2010,75,95,323,416.1,204.5
bundi,2005,12485,11200,14763,562.3,516.1
bundi,2006,16208,12485,11200,517.9,562.3
bundi,2007,39552,16208,12485,585.7,517.9
bundi,2008,45335,39552,16208,564.8,585.7
bundi,2009,31357,45335,39552,387.2,564.8
bundi,2010,42971,31357,45335,616.7,387.2
chittorgarh,2005,974,1048,1283,638.6,959.8
chittorgarh,2006,958,974,1048,1121.8,638.6
chittorgarh,2007,1747,958,974,610.3,1121.8
chittorgarh,2008,667,1747,958,813.8,610.3
chittorgarh,2009,1133,667,1747,646.9,813.8
chittorgarh,2010,1693,1133,667,777.4,646.9
dholpur,2005,1228,960,1287,698.8,828.9
dholpur,2006,845,1228,960,375.8,698.8
dholpur,2007,983,845,1228,379.1,375.8
dholpur,2008,1037,983,845,868.8,379.1
dholpur,2009,862,1037,983,422.9,868.8
dholpur,2010,1375,862,1037,736.3,422.9
dungarpur,2005,7234,20267,20126,628.6,816.1
dungarpur,2006,18171,7234,20267,1369.4,628.6
dungarpur,2007,39241,18171,7234,945.6,1369.4
dungarpur,2008,3288,39241,18171,424.4,945.6
dungarpur,2009,5060,3288,39241,719.4,424.4
dungarpur,2010,9058,5060,3288,593.4,719.4
hanumangarh,2005,65501,64671,67043,334.5,171.5
hanumangarh,2006,72134,65501,64671,237.7,334.5
hanumangarh,2007,76206,72134,65501,221.7,237.7
hanumangarh,2008,88500,76206,72134,310,221.7
hanumangarh,2009,84380,88500,76206,163.6,310
hanumangarh,2010,88450,84380,88500,339.2,163.6
jhalawar,2005,1055,662,755,661.8,808.8
jhalawar,2006,1135,1055,662,1087,661.8
jhalawar,2007,2389,1135,1055,726,1087
jhalawar,2008,3034,2389,1135,618.7,726
jhalawar,2009,3631,3034,2389,689.2,618.7
jhalawar,2010,5858,3631,3034,601.5,689.2
karauli,2005,2810,3139,2405,621.6,481.5
karauli,2006,4327,2810,3139,393.5,621.6
karauli,2007,1816,4327,2810,545.3,393.5
karauli,2008,4692,1816,4327,944.8,545.3
karauli,2009,1078,4692,1816,522.4,944.8
karauli,2010,2241,1078,4692,709.1,522.4
kota,2005,15606,10791,9997,665.2,853
kota,2006,17751,15606,10791,964.7,665.2
kota,2007,20645,17751,15606,746.6,964.7
kota,2008,36786,20645,17751,662.5,746.6
kota,2009,37733,36786,20645,577.9,662.5
kota,2010,38259,37733,36786,593.5,577.9
pratapgarh,2010,2681,2318,2765,717.8,648
rajsamand,2005,122,99,154,659.7,443.9
rajsamand,2006,165,122,99,666.6,659.7
rajsamand,2007,325,165,122,508.6,666.6
rajsamand,2008,190,325,165,314.4,508.6
rajsamand,2009,92,190,325,390.4,314.4
rajsamand,2010,174,92,190,808.2,390.4
sirohi,2005,2,2,10,948.6,675.8
sirohi,2006,11,2,2,1545.5,948.6
sirohi,2007,6,11,2,862.2,1545.5
sirohi,2008,5,6,11,468.1,862.2
tonk,2005,6,8,8,390.7,508.7
tonk,2009,11,6,8,295.8,547.2
tonk,2010,4,11,6,770.5,295.8
udaipur,2005,4477,4165,6070,705.4,608.5
udaipur,2006,5725,4477,4165,1092,705.4
udaipur,2007,4256,5725,4477,513.8,1092
udaipur,2008,2013,4256,5725,594.5,513.8
udaipur,2009,2594,2013,4256,582.8,594.5
udaipur,2010,5269,2594,2013,873.7,582.8
agra,2005,2314,2575,1436,419.4,432.3
agra,2006,2056,2314,2575,315.2,419.4
agra,2007,2763,2056,2314,367.5,315.2
agra,2008,9183,2763,2056,545.1,367.5
agra,2009,8467,9183,2763,371,545.1
agra,2010,9413,8467,9183,419,371
aligarh,2005,76868,86421,63252,775.2,513.7
aligarh,2006,79239,76868,86421,358.7,775.2
aligarh,2010,131614,115088,102410,626,284.3
