,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,Value
0,Andaman and Nicobar Islands,nicobars,2000,kharif,Rice,102,321,3.147058824
1,Andaman and Nicobar Islands,nicobars,2001,kharif,Rice,83,300,3.614457831
2,Andaman and Nicobar Islands,nicobars,2002,kharif,Rice,189.2,510.84,2.7
3,Andaman and Nicobar Islands,nicobars,2003,kharif,Rice,52,90.17,1.734038462
4,Andaman and Nicobar Islands,nicobars,2004,kharif,Rice,52.94,72.57,1.370797129
5,Andaman and Nicobar Islands,nicobars,2005,kharif,Rice,2.09,12.06,5.770334928
7,Andhra Pradesh,anantapur,1997,kharif,Rice,35600,75400,2.117977528
9,Andhra Pradesh,anantapur,1998,kharif,Rice,38300,96800,2.527415144
11,Andhra Pradesh,anantapur,1999,kharif,Rice,37991,105082,2.765970888
13,Andhra Pradesh,anantapur,2000,kharif,Rice,39905,117680,2.949003884
15,Andhra Pradesh,anantapur,2001,kharif,Rice,32878,95609,2.907993187
17,Andhra Pradesh,anantapur,2002,kharif,Rice,29066,66329,2.282013349
19,Andhra Pradesh,anantapur,2003,kharif,Rice,17515,44891,2.56300314
21,Andhra Pradesh,anantapur,2004,kharif,Rice,24335,85051,3.495007191
23,Andhra Pradesh,anantapur,2005,kharif,Rice,25008,69972,2.797984645
25,Andhra Pradesh,anantapur,2006,kharif,Rice,22349,67427,3.017002998
27,Andhra Pradesh,anantapur,2007,kharif,Rice,30000,95000,3.166666667
29,Andhra Pradesh,anantapur,2008,kharif,Rice,30306,94615,3.121989045
31,Andhra Pradesh,anantapur,2009,kharif,Rice,32226,101512,3.150003103
33,Andhra Pradesh,anantapur,2010,kharif,Rice,34973,102007,2.916735768
35,Andhra Pradesh,anantapur,2011,kharif,Rice,37720,94531,2.506124072
37,Andhra Pradesh,anantapur,2012,kharif,Rice,22056,58691,2.660999275
39,Andhra Pradesh,anantapur,2013,kharif,Rice,28114,59377,2.112008252
41,Andhra Pradesh,anantapur,2014,kharif,Rice,22658,68155,3.007988348
44,Andhra Pradesh,chittoor,1997,kharif,Rice,42300,84400,1.995271868
46,Andhra Pradesh,chittoor,1998,kharif,Rice,42000,105400,2.50952381
48,Andhra Pradesh,chittoor,1999,kharif,Rice,37542,75477,2.010468276
50,Andhra Pradesh,chittoor,2000,kharif,Rice,33776,89236,2.641994315
52,Andhra Pradesh,chittoor,2001,kharif,Rice,24377,55311,2.268983058
54,Andhra Pradesh,chittoor,2002,kharif,Rice,20137,50020,2.483984705
56,Andhra Pradesh,chittoor,2003,kharif,Rice,18495,38562,2.084995945
58,Andhra Pradesh,chittoor,2004,kharif,Rice,19055,43331,2.273996326
60,Andhra Pradesh,chittoor,2005,kharif,Rice,16240,37173,2.288977833
62,Andhra Pradesh,chittoor,2006,kharif,Rice,17049,42520,2.493987917
64,Andhra Pradesh,chittoor,2007,kharif,Rice,15000,42000,2.8
66,Andhra Pradesh,chittoor,2008,kharif,Rice,17596,46242,2.627983633
68,Andhra Pradesh,chittoor,2009,kharif,Rice,19758,56192,2.844012552
70,Andhra Pradesh,chittoor,2010,kharif,Rice,18019,53639,2.976802264
72,Andhra Pradesh,chittoor,2011,kharif,Rice,17342,55719,3.212951217
74,Andhra Pradesh,chittoor,2012,kharif,Rice,12952,45241,3.492974058
76,Andhra Pradesh,chittoor,2013,kharif,Rice,15206,48766,3.207023543
78,Andhra Pradesh,chittoor,2014,kharif,Rice,13304,44462,3.342002405
81,Andhra Pradesh,east godavari,1997,kharif,Rice,214100,429300,2.005137786
83,Andhra Pradesh,east godavari,1998,kharif,Rice,256300,386600,1.508388607
85,Andhra Pradesh,east godavari,1999,kharif,Rice,244655,628606,2.569356849
87,Andhra Pradesh,east godavari,2000,kharif,Rice,253966,683423,2.691001945
89,Andhra Pradesh,east godavari,2001,kharif,Rice,220811,579850,2.626001422
91,Andhra Pradesh,east godavari,2002,kharif,Rice,194809,551115,2.82900174
93,Andhra Pradesh,east godavari,2003,kharif,Rice,234673,762453,3.249001803
95,Andhra Pradesh,east godavari,2004,kharif,Rice,224521,743614,3.312001995
97,Andhra Pradesh,east godavari,2005,kharif,Rice,217411,348727,1.603998878
99,Andhra Pradesh,east godavari,2006,kharif,Rice,227930,547716,2.403000921
101,Andhra Pradesh,east godavari,2007,kharif,Rice,242000,715000,2.954545455
103,Andhra Pradesh,east godavari,2008,kharif,Rice,240231,716609,2.982999696
105,Andhra Pradesh,east godavari,2009,kharif,Rice,202153,616567,3.050001731
107,Andhra Pradesh,east godavari,2010,kharif,Rice,237640,457704,1.926039387
109,Andhra Pradesh,east godavari,2011,kharif,Rice,197445,589741,2.986862164
111,Andhra Pradesh,east godavari,2012,kharif,Rice,232300,355651,1.530998709
113,Andhra Pradesh,east godavari,2013,kharif,Rice,235159,434104,1.846002067
115,Andhra Pradesh,east godavari,2014,kharif,Rice,226072,681833,3.015999328
118,Andhra Pradesh,guntur,1997,kharif,Rice,295000,845300,2.865423729
120,Andhra Pradesh,guntur,1998,kharif,Rice,298400,921400,3.087801609
122,Andhra Pradesh,guntur,1999,kharif,Rice,302886,969414,3.200590321
124,Andhra Pradesh,guntur,2000,kharif,Rice,292899,987363,3.371001608
126,Andhra Pradesh,guntur,2001,kharif,Rice,272468,935110,3.431999354
128,Andhra Pradesh,guntur,2002,kharif,Rice,202953,646811,3.18699896
130,Andhra Pradesh,guntur,2003,kharif,Rice,170487,482990,2.83300193
132,Andhra Pradesh,guntur,2004,kharif,Rice,240404,833961,3.46899802
134,Andhra Pradesh,guntur,2005,kharif,Rice,288879,892636,3.089999619
136,Andhra Pradesh,guntur,2006,kharif,Rice,288638,783941,2.716000665
138,Andhra Pradesh,guntur,2007,kharif,Rice,283000,976000,3.448763251
140,Andhra Pradesh,guntur,2008,kharif,Rice,281491,959321,3.407998835
142,Andhra Pradesh,guntur,2009,kharif,Rice,190526,683226,3.585998761
144,Andhra Pradesh,guntur,2010,kharif,Rice,271072,649760,2.397001535
146,Andhra Pradesh,guntur,2011,kharif,Rice,281790,1080921,3.83590972
148,Andhra Pradesh,guntur,2012,kharif,Rice,174699,607778,3.479001025
150,Andhra Pradesh,guntur,2013,kharif,Rice,280060,912716,3.259001643
152,Andhra Pradesh,guntur,2014,kharif,Rice,255607,1000190,3.912999253
155,Andhra Pradesh,krishna,1997,kharif,Rice,257900,699400,2.711903839
157,Andhra Pradesh,krishna,1998,kharif,Rice,280800,759900,2.706196581
159,Andhra Pradesh,krishna,1999,kharif,Rice,278415,834490,2.997288221
