,State_Name,ind_district,Crop_Year,Season,Crop,Area,Production,phosphorus,X1,X2,X3,X4
15,ANDHRA PRADESH,anantapur,1999,kharif,Rice,37991,105082,0,96800,75400,643.72,881.473
16,ANDHRA PRADESH,anantapur,2000,kharif,Rice,39905,117680,0,105082,96800,767.351,643.72
17,ANDHRA PRADESH,anantapur,2001,kharif,Rice,32878,95609,0,117680,105082,579.338,767.351
18,ANDHRA PRADESH,anantapur,2002,kharif,Rice,29066,66329,0,95609,117680,540.07,579.338
21,ANDHRA PRADESH,anantapur,2005,kharif,Rice,25008,69972,0,85051,44891,819.7,564.5
22,ANDHRA PRADESH,anantapur,2006,kharif,Rice,22349,67427,0,69972,85051,494.6,819.7
23,ANDHRA PRADESH,anantapur,2007,kharif,Rice,30000,95000,0,67427,69972,689.9,494.6
24,ANDHRA PRADESH,anantapur,2008,kharif,Rice,30306,94615,0,95000,67427,867.1,689.9
25,ANDHRA PRADESH,anantapur,2009,kharif,Rice,32226,101512,0,94615,95000,585.3,867.1
26,ANDHRA PRADESH,anantapur,2010,kharif,Rice,34973,102007,0,101512,94615,853.8,585.3
33,ANDHRA PRADESH,chittoor,1999,kharif,Rice,37542,75477,0,105400,84400,792.083,981.825
34,ANDHRA PRADESH,chittoor,2000,kharif,Rice,33776,89236,0,75477,105400,926.468,792.083
35,ANDHRA PRADESH,chittoor,2001,kharif,Rice,24377,55311,0,89236,75477,811.87,926.468
36,ANDHRA PRADESH,chittoor,2002,kharif,Rice,20137,50020,0,55311,89236,737.593,811.87
51,ANDHRA PRADESH,east godavari,1999,kharif,Rice,244655,628606,1,386600,429300,774.738,1169.204
52,ANDHRA PRADESH,east godavari,2000,kharif,Rice,253966,683423,1,628606,386600,1264.862,774.738
53,ANDHRA PRADESH,east godavari,2001,kharif,Rice,220811,579850,1,683423,628606,1012.914,1264.862
54,ANDHRA PRADESH,east godavari,2002,kharif,Rice,194809,551115,1,579850,683423,788.48,1012.914
69,ANDHRA PRADESH,guntur,1999,kharif,Rice,302886,969414,1,921400,845300,547.044,828.523
70,ANDHRA PRADESH,guntur,2000,kharif,Rice,292899,987363,1,969414,921400,870.519,547.044
71,ANDHRA PRADESH,guntur,2001,kharif,Rice,272468,935110,1,987363,969414,793.426,870.519
72,ANDHRA PRADESH,guntur,2002,kharif,Rice,202953,646811,1,935110,987363,658.954,793.426
75,ANDHRA PRADESH,guntur,2005,kharif,Rice,288879,892636,1,833961,482990,952.7,759.5
76,ANDHRA PRADESH,guntur,2006,kharif,Rice,288638,783941,1,892636,833961,852.6,952.7
77,ANDHRA PRADESH,guntur,2007,kharif,Rice,283000,976000,1,783941,892636,1008.6,852.6
78,ANDHRA PRADESH,guntur,2008,kharif,Rice,281491,959321,1,976000,783941,964.5,1008.6
79,ANDHRA PRADESH,guntur,2009,kharif,Rice,190526,683226,1,959321,976000,643.6,964.5
